target_buffer_m,pct_k1,pct_k2
0,0.7450980392156863,0.7427450980392157
100,0.8235294117647058,0.82
200,0.8431372549019608,0.84
300,0.8431372549019608,0.8411764705882353
400,0.8431372549019608,0.8415686274509804
500,0.8823529411764706,0.88
600,0.8823529411764706,0.8807843137254902
700,0.8823529411764706,0.8811764705882353
800,0.8823529411764706,0.8811764705882353
900,0.9019607843137255,0.9
1000,0.9019607843137255,0.9011764705882352
1100,0.9019607843137255,0.9011764705882352
1200,0.9215686274509803,0.9203921568627451
1300,0.9215686274509803,0.9207843137254902
1400,0.9411764705882353,0.94
1500,0.9411764705882353,0.9403921568627451
1600,0.9411764705882353,0.9403921568627451
1700,0.9411764705882353,0.9403921568627451
1800,0.9607843137254902,0.9592156862745098
1900,0.9607843137254902,0.9596078431372549
2000,0.9607843137254902,0.96
2100,0.9803921568627451,0.9788235294117648
2200,0.9803921568627451,0.9788235294117648
2300,0.9803921568627451,0.9788235294117648
2400,0.9803921568627451,0.9788235294117648
2500,0.9803921568627451,0.9788235294117648
2600,0.9803921568627451,0.9796078431372549
2700,0.9803921568627451,0.98
2800,0.9803921568627451,0.98
2900,0.9803921568627451,0.98
3000,0.9803921568627451,0.98
3100,0.9803921568627451,0.98
3200,0.9803921568627451,0.9803921568627451
3300,1.0,0.9992156862745099
3400,1.0,0.9992156862745099
3500,1.0,0.9992156862745099
3600,1.0,0.9992156862745099
3700,1.0,0.9992156862745099
3800,1.0,0.9992156862745099
3900,1.0,0.9992156862745099
4000,1.0,0.9992156862745099
4100,1.0,0.9992156862745099
4200,1.0,0.9992156862745099
4300,1.0,0.9996078431372549
4400,1.0,0.9996078431372549
4500,1.0,0.9996078431372549
4600,1.0,0.9996078431372549
4700,1.0,0.9996078431372549
4800,1.0,0.9996078431372549
4900,1.0,0.9996078431372549
5000,1.0,0.9996078431372549
5100,1.0,1.0
5200,1.0,1.0
5300,1.0,1.0
5400,1.0,1.0
5500,1.0,1.0
5600,1.0,1.0
5700,1.0,1.0
5800,1.0,1.0
5900,1.0,1.0
6000,1.0,1.0
6100,1.0,1.0
6200,1.0,1.0
6300,1.0,1.0
6400,1.0,1.0
6500,1.0,1.0
6600,1.0,1.0
6700,1.0,1.0
6800,1.0,1.0
6900,1.0,1.0
7000,1.0,1.0
7100,1.0,1.0
7200,1.0,1.0
7300,1.0,1.0
7400,1.0,1.0
7500,1.0,1.0
7600,1.0,1.0
7700,1.0,1.0
7800,1.0,1.0
7900,1.0,1.0
8000,1.0,1.0
8100,1.0,1.0
8200,1.0,1.0
8300,1.0,1.0
8400,1.0,1.0
8500,1.0,1.0
8600,1.0,1.0
8700,1.0,1.0
8800,1.0,1.0
8900,1.0,1.0
9000,1.0,1.0
9100,1.0,1.0
9200,1.0,1.0
9300,1.0,1.0
9400,1.0,1.0
9500,1.0,1.0
9600,1.0,1.0
9700,1.0,1.0
9800,1.0,1.0
9900,1.0,1.0
10000,1.0,1.0
10100,1.0,1.0
10200,1.0,1.0
10300,1.0,1.0
10400,1.0,1.0
10500,1.0,1.0
10600,1.0,1.0
10700,1.0,1.0
10800,1.0,1.0
10900,1.0,1.0
11000,1.0,1.0
11100,1.0,1.0
11200,1.0,1.0
11300,1.0,1.0
11400,1.0,1.0
11500,1.0,1.0
11600,1.0,1.0
11700,1.0,1.0
11800,1.0,1.0
11900,1.0,1.0
12000,1.0,1.0
